label,Carretera,n_accidents,n_accidentsAlcance,n_accidentsAtropello,n_accidentsSalida,n_accidentsTijera camión,n_accidentsVuelco,n_accidentsHora0,n_accidentsHora1,n_accidentsHora2,n_accidentsHora3,n_accidentsHora4,n_accidentsHora5,n_accidentsHora6,n_accidentsHora7,n_accidentsHora8,n_accidentsHora9,n_accidentsHora10,n_accidentsHora11,n_accidentsHora12,n_accidentsHora13,n_accidentsHora14,n_accidentsHora15,n_accidentsHora16,n_accidentsHora17,n_accidentsHora18,n_accidentsHora19,n_accidentsHora20,n_accidentsHora21,n_accidentsHora22,n_accidentsHora23,n_accidentsMes1,n_accidentsMes2,n_accidentsMes3,n_accidentsMes4,n_accidentsMes5,n_accidentsMes6,n_accidentsMes7,n_accidentsMes8,n_accidentsMes9,n_accidentsMes10,n_accidentsMes11,n_accidentsMes12
0,3,368,259,2,98,1,8,2,2,1,4,4,6,10,25,19,36,14,8,27,9,36,16,16,8,44,37,8,11,17,8,53,34,36,21,21,31,17,12,31,29,33,50
1,5,258,143,2,67,4,42,0,0,3,3,5,9,16,6,16,7,15,18,19,20,11,15,7,9,31,10,15,9,10,4,22,29,17,25,9,26,19,38,19,20,13,21
2,3,66,55,1,9,0,1,0,0,0,0,0,1,1,11,6,2,4,2,2,1,10,5,2,0,12,3,1,0,2,1,9,4,8,8,2,4,4,0,9,11,5,2
3,2,70,31,1,29,0,9,0,0,2,1,0,0,0,1,2,5,1,3,2,4,8,5,5,6,3,2,10,8,1,1,4,4,13,8,7,6,10,5,3,2,7,1
4,6,611,557,3,40,0,11,1,3,1,0,1,5,3,31,34,31,34,31,37,49,48,26,36,50,79,54,30,14,11,2,68,35,60,34,29,37,63,23,62,60,67,73
5,5,201,127,3,54,0,17,0,2,1,2,5,0,3,2,7,14,6,11,11,15,17,11,6,15,15,13,12,12,14,7,27,47,26,10,23,9,6,8,4,12,14,15
6,4,421,295,1,82,1,42,1,5,0,1,3,26,20,29,27,19,27,21,10,19,52,28,11,17,33,25,8,21,13,5,48,37,41,43,37,17,48,7,29,13,59,42
7,5,315,193,2,75,0,45,6,2,3,3,1,3,11,21,37,15,11,10,20,28,11,18,19,20,20,10,17,10,13,6,29,36,40,9,30,27,23,6,17,21,42,35
8,4,78,24,0,36,0,18,0,0,1,0,0,0,2,0,4,1,2,0,0,7,10,7,9,4,3,12,5,9,2,0,4,2,14,1,4,8,9,2,10,15,0,9
9,3,74,56,2,16,0,0,0,0,1,0,0,0,0,1,8,2,7,5,8,3,7,0,7,0,5,6,1,1,10,2,7,3,8,2,7,4,14,4,8,5,6,6
10,5,324,215,5,74,6,24,2,5,0,3,6,4,8,21,16,24,22,17,13,22,13,15,17,13,34,14,11,7,29,8,32,60,35,18,27,17,27,6,21,26,22,33
11,3,428,259,1,140,3,25,3,2,0,4,0,13,19,29,13,34,10,17,29,36,21,40,17,19,27,28,11,22,20,14,31,38,43,16,53,72,28,11,14,23,31,68
12,9,281,202,7,50,6,16,3,0,2,3,2,1,0,18,33,13,19,20,17,13,10,14,17,8,32,28,13,8,4,3,30,21,12,20,35,33,17,7,15,29,41,21
13,7,117,51,2,49,0,15,2,0,1,0,0,5,3,20,7,2,3,6,6,1,12,7,2,4,13,2,11,3,5,2,9,12,3,10,13,13,14,4,13,12,7,7
14,13,110,70,6,27,0,7,0,0,0,0,0,0,0,15,5,1,0,11,9,9,12,8,7,7,6,2,5,9,3,1,8,13,9,8,7,19,8,4,7,16,9,2
15,9,251,138,0,100,0,13,3,2,0,0,1,9,15,8,23,11,6,14,15,9,18,21,12,11,26,13,4,13,9,8,13,25,18,19,25,23,11,12,21,23,30,31
